Nom_arrond,Invent,no_civiq,Rue,Rue_De,Rue_A,Nom_parc,Sigle,Injections,x,y,longitude,latitude
Ahuntsic-Cartierville,R,9805,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292946.888,5046548.5,-73.65182879,45.55874714
Ahuntsic-Cartierville,R,9825,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292923.836,5046556.5,-73.65212426,45.55881873
Ahuntsic-Cartierville,R,9810,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292944.121,5046531.5,-73.65186383,45.55859412
Ahuntsic-Cartierville,R,10432,"Lille, rue de","Fleury Est, rue","Prieur Est, rue",,FRPE,2016,293044.306,5048354.5,-73.65062438,45.57499972
Ahuntsic-Cartierville,R,1170,"Louvain Est, rue de","Christophe-Colomb, avenue","De Bretonvilliers, avenue",,FRPE,2016,293425.855,5046560.5,-73.64569391,45.55886311
Ahuntsic-Cartierville,R,10360,"Papineau, avenue","Fleury Est, rue","Prieur Est, rue",,FRPE,2016,292753.585,5047616.394,-73.65433115,45.56835306
Ahuntsic-Cartierville,R,10330,"D'Iberville, rue","Fleury Est, rue","Prieur Est, rue",,FRPE,2016,293238,5048431.5,-73.64814443,45.57569583
Ahuntsic-Cartierville,R,10115,"Fabre, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,2016,292969.342,5047326.5,-73.65156,45.5657482
Ahuntsic-Cartierville,R,9222,"Joseph-Mélançon, avenue","Joseph-Mélançon, avenue","Joseph-Mélançon, avenue",,FRAM,2016,293512.156,5046045.5,-73.64457658,45.55423038
Ahuntsic-Cartierville,R,1750,"Sauriol Est, rue","Garnier, rue","Fabre, rue",,FRPE,2016,292996.1076,5047285.056,-73.65121611,45.56537574
Ahuntsic-Cartierville,R,9182,"Joseph-Mélançon, avenue","Joseph-Mélançon, avenue","Joseph-Mélançon, avenue",,FRAM,2016,293567.5,5046036.5,-73.64386753,45.55415029
Ahuntsic-Cartierville,R,1444,"Louvain Est, rue de","Antoine-Déat, rue","Papineau, avenue / Voie latérale Ouest",,FRPE,2016,293628.861,5046973.5,-73.64310301,45.5625827
Ahuntsic-Cartierville,R,1621,"François-H.-Prévost, rue","Ernest-Savignac, rue","Aurèle-Allard, rue",,FRAMAP,2016,294668.75,5046282.5,-73.62976768,45.55638077
Ahuntsic-Cartierville,R,8521,"Pierre-Dupaigne, rue","Jacques-Casault, rue","Pierre-Dupaigne, place",,FRPE,2016,294739.063,5045912,-73.62885945,45.55304791
Ahuntsic-Cartierville,R,10265,"Olympia, boulevard","Sauriol Est, rue","Fleury Est, rue",,FRPE,2016,292591.125,5046888,-73.65639429,45.56179592
Ahuntsic-Cartierville,R,10371,"Lille, rue de","Fleury Est, rue","Prieur Est, rue",,FRPE,2016,293119.91,5048331,-73.64965512,45.57478953
Ahuntsic-Cartierville,R,10265,"Olympia, boulevard","Sauriol Est, rue","Fleury Est, rue",,FRPE,2016,292602.493,5046883.651,-73.65624856,45.56175698
Ahuntsic-Cartierville,R,10530,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293138.553,5048798,-73.64942739,45.57899204
Ahuntsic-Cartierville,R,10560,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293110.192,5048813.5,-73.64979117,45.57913104
Ahuntsic-Cartierville,R,10574,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293091.549,5048825.085,-73.65003034,45.57923497
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293138.623,5048817.078,-73.64942695,45.57916371
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293115.272,5048830.704,-73.64972649,45.57928593
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293054.984,5048866.427,-73.65049987,45.57960636
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293092.815,5048844.014,-73.65001457,45.57940532
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293108.271,5048835.029,-73.6498163,45.57932473
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293154.186,5048807.821,-73.64922731,45.57908068
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293183.964,5048790.595,-73.64884533,45.57892617
Ahuntsic-Cartierville,R,10455,"Taché, rue","Taché, place","Prieur Est, rue",,FRPE,2016,292502.287,5047315,-73.65754303,45.56563663
Ahuntsic-Cartierville,R,10355,"Taché, rue","Taché, place","Taché, place",,FRPE,2016,292591.9871,5047262.628,-73.6563926,45.56516695
Ahuntsic-Cartierville,R,10415,"Taché, rue","Taché, place","Taché, place",,FRPE,2016,292536.754,5047294,-73.65710096,45.56544827
Ahuntsic-Cartierville,R,0,"Taché, rue","Taché, place","Prieur Est, rue",,FRPE,2016,292466.214,5047317,-73.6580052,45.56565399
Ahuntsic-Cartierville,R,0,"Saint-Hubert, rue","Gouin Est, boulevard","Park Stanley, avenue",,FRAMAP,2016,291659.539,5046553.5,-73.66831876,45.55876903
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291883.812,5046442.5,-73.66544308,45.55777441
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291881.111,5046442,-73.66547767,45.55776986
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291872.92,5046446,-73.66558269,45.5578057
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291874.945,5046445,-73.66555673,45.55779674
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291869.635,5046448,-73.66562482,45.55782364
Ahuntsic-Cartierville,R,10587,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPEPA,2016,291937.322,5046437.5,-73.66475755,45.55773041
Ahuntsic-Cartierville,R,10381,"Saint-Hubert, rue","Fleury Est, rue","Prieur Est, rue",,FRAM,2016,292188.953,5046331.5,-73.6615317,45.55678119
Ahuntsic-Cartierville,R,4030,"Plouffe, rue","Luc-Rochefort, rue","Jean-Massé, rue",,FRPESU,2016,289132.065,5043796.373,-73.70060523,45.53390726
Ahuntsic-Cartierville,R,9929,"Saint-Hubert, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292622.555,5046150,-73.6559733,45.55515572
Ahuntsic-Cartierville,R,9705,"Saint-Hubert, rue",Viaduc,"Sauvé Est, rue",,FRPE,2016,292890.264,5046039.5,-73.65254171,45.55416603
Ahuntsic-Cartierville,R,9831,"Saint-Hubert, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292721.398,5046110.5,-73.65470631,45.554802
Ahuntsic-Cartierville,R,8988,"Saint-Hubert, rue","Émile-Journault, avenue","Legendre Est, rue",,FRPESU,2016,293730.094,5045677,-73.64177687,45.550918
Ahuntsic-Cartierville,R,8996,"Saint-Hubert, rue","Émile-Journault, avenue","Legendre Est, rue",,FRPESU,2016,293724.156,5045679.5,-73.64185298,45.5509404
Ahuntsic-Cartierville,R,8800,"Saint-Hubert, rue","Marcel-Cadieux, rue","Émile-Journault, avenue",,FRPEMS,2016,294021.041,5045559.037,-73.638048,45.54986109
Ahuntsic-Cartierville,R,8832,"Saint-Hubert, rue","Marcel-Cadieux, rue","Émile-Journault, avenue",,FRPE,2016,293976.875,5045577,-73.63861404,45.55002204
Ahuntsic-Cartierville,R,8712,"Saint-Hubert, rue","Crémazie Est, boulevard / Voie Nord","Marcel-Cadieux, rue",,FRPEMS,2016,294177.156,5045496.5,-73.63604726,45.54930076
Ahuntsic-Cartierville,R,10675,"De Saint-Firmin, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPEMS,2016,292599.563,5048091,-73.65631622,45.57262102
Ahuntsic-Cartierville,R,10000,"De Saint-Firmin, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,293265.5,5047672,-73.64777415,45.56886209
Ahuntsic-Cartierville,R,10680,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRAM,2016,291867.194,5046634.5,-73.66566102,45.55950178
Ahuntsic-Cartierville,R,10570,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,292019.67,5046571,-73.66370625,45.5589332
Ahuntsic-Cartierville,R,10652,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291898.965,5046621.5,-73.66525371,45.55938539
Ahuntsic-Cartierville,R,10660,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291890.725,5046624.5,-73.66535934,45.55941223
Ahuntsic-Cartierville,R,10624,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291934.77,5046606.5,-73.66479468,45.55925108
Ahuntsic-Cartierville,R,10548,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,292045.125,5046560,-73.6633799,45.55883469
Ahuntsic-Cartierville,R,10560,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,292032.475,5046565.5,-73.66354208,45.55888394
Ahuntsic-Cartierville,R,10642,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291908.968,5046617,-73.66512546,45.55934508
Ahuntsic-Cartierville,R,10667,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291880.43,5046643,-73.6654917,45.55957851
Ahuntsic-Cartierville,R,10591,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291981.837,5046600,-73.66419162,45.55919346
Ahuntsic-Cartierville,R,10521,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRAMMA,2016,292082.056,5046559,-73.66290682,45.55882636
Ahuntsic-Cartierville,R,10529,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,292065.773,5046566,-73.66311558,45.55888905
Ahuntsic-Cartierville,R,10513,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,292093.686,5046554.5,-73.66275774,45.55878608
Ahuntsic-Cartierville,R,9905,"Saint-Charles, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRAMAP,2016,292680.599,5046306.5,-73.65523373,45.55656497
Ahuntsic-Cartierville,R,9740,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292924.033,5046191,-73.65211287,45.55552985
Ahuntsic-Cartierville,R,9796,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292842.726,5046225,-73.65315511,45.55583441
Ahuntsic-Cartierville,R,9768,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292887.926,5046206,-73.65257571,45.55566421
Ahuntsic-Cartierville,R,9782,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292870.852,5046213,-73.65279457,45.55572691
Ahuntsic-Cartierville,R,9715,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292953.501,5046193,-73.65173548,45.55554835
Ahuntsic-Cartierville,R,9746,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292915.94,5046194.5,-73.65221661,45.55556121
Ahuntsic-Cartierville,R,9762,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292895.26,5046203,-73.6524817,45.55563734
Ahuntsic-Cartierville,R,9774,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292878.267,5046210,-73.65269952,45.55570004
Ahuntsic-Cartierville,R,9797,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292850.956,5046236.5,-73.65304998,45.55593803
Ahuntsic-Cartierville,R,9730,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,292939.042,5046184.5,-73.65192047,45.55547162
Ahuntsic-Cartierville,R,10510,"Séguin, rue","Prieur Est, rue","Struan, rue",,FRPE,2016,292662.813,5047831,-73.65549939,45.57028257
Ahuntsic-Cartierville,R,1797,"Sauvé Est, rue","Francheville, rue","Papineau, avenue",,FRAMKL,2016,293248.281,5047262.5,-73.64798507,45.565177
Ahuntsic-Cartierville,R,1775,"Sauvé Est, rue","Garnier, rue","Francheville, rue",,FRPEMS,2016,293221.898,5047195,-73.64832146,45.56456917
Ahuntsic-Cartierville,R,1670,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,2016,293171.0469,5047022.03,-73.64896877,45.5630119
Ahuntsic-Cartierville,R,1755,"Sauvé Est, rue","Garnier, rue","Francheville, rue",,FRPE,2016,293210.941,5047166.5,-73.64846114,45.56431254
Ahuntsic-Cartierville,R,1765,"Sauvé Est, rue","Garnier, rue","Francheville, rue",,FRPEMS,2016,293218.767,5047189,-73.64836142,45.56451513
Ahuntsic-Cartierville,R,1690,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,2016,293186.4048,5047062.121,-73.64877298,45.5633729
Ahuntsic-Cartierville,R,1735,"Sauvé Est, rue","Garnier, rue","Francheville, rue",,FRPE,2016,293198.276,5047134.5,-73.64862263,45.56402438
Ahuntsic-Cartierville,R,1797,"Sauvé Est, rue","Francheville, rue","Papineau, avenue",,FRPE,2016,293244.902,5047254.397,-73.64802817,45.56510403
Ahuntsic-Cartierville,R,1765,"Sauvé Est, rue","Garnier, rue","Francheville, rue",,FRPEMS,2016,293216.206,5047182.5,-73.64839408,45.5644566
Ahuntsic-Cartierville,R,1660,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,2016,293152.029,5046976,-73.6492113,45.56259738
Ahuntsic-Cartierville,R,1681,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPE,2016,293164.836,5047053,-73.64904907,45.56329046
Ahuntsic-Cartierville,R,1630,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,2016,293143.064,5046947.5,-73.64932546,45.56234078
Ahuntsic-Cartierville,R,1640,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,2016,293145.483,5046956.5,-73.64929468,45.5624218
Ahuntsic-Cartierville,R,1690,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,2016,293179.052,5047044.008,-73.64886675,45.56320979
Ahuntsic-Cartierville,R,1690,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,2016,293182.6444,5047053.238,-73.64882095,45.56329291
Ahuntsic-Cartierville,R,1670,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,2016,293154.59,5046985.5,-73.64917871,45.56268291
Ahuntsic-Cartierville,R,1655,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPE,2016,293151.175,5047017,-73.64922321,45.5629663
Ahuntsic-Cartierville,R,1587,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPE,2016,293109.055,5046906.5,-73.64976013,45.56197128
Ahuntsic-Cartierville,R,1681,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPE,2016,293162.417,5047043,-73.64907982,45.56320044
Ahuntsic-Cartierville,R,1615,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPE,2016,293130.684,5046968,-73.64948453,45.56252504
Ahuntsic-Cartierville,R,1615,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPE,2016,293136.376,5046977,-73.64941183,45.56260612
Ahuntsic-Cartierville,R,1625,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPE,2016,293140.218,5046987.5,-73.64936287,45.56270066
Ahuntsic-Cartierville,R,1650,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,2016,293148.756,5046965.5,-73.64925297,45.56250284
Ahuntsic-Cartierville,R,1595,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPE,2016,293111.901,5046916.5,-73.64972391,45.56206131
Ahuntsic-Cartierville,R,1595,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPE,2016,293116.169,5046926,-73.64966947,45.56214686
Ahuntsic-Cartierville,R,0,"Sauvé Est, rue","Sacré-Coeur, avenue du","Christophe-Colomb, avenue",,FRPE,2016,292963.056,5046559,-73.65162195,45.5588419
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Marquette, rue","Papineau, avenue",,FRPE,2016,293029.1847,5047371.022,-73.65079444,45.56614984
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Marquette, rue","Papineau, avenue",,FRPE,2016,293031.8029,5047378.766,-73.65076109,45.56621957
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Fabre, rue","Marquette, rue",,FRPE,2016,292991.998,5047326,-73.65126975,45.56574409
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Fabre, rue","Marquette, rue",,FRPE,2016,292996.17,5047336.5,-73.65121656,45.56583864
Ahuntsic-Cartierville,R,1750,"Sauriol Est, rue","Fabre, rue","Marquette, rue",,FRPE,2016,293026.5549,5047363.015,-73.65082794,45.56607775
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Fabre, rue","Marquette, rue",,FRPE,2016,293004.96,5047359.5,-73.6511045,45.56604575
Ahuntsic-Cartierville,R,1750,"Sauriol Est, rue","Fabre, rue","Marquette, rue",,FRPE,2016,293006.5617,5047315.334,-73.65108292,45.56564836
Ahuntsic-Cartierville,R,1750,"Sauriol Est, rue","Fabre, rue","Marquette, rue",,FRPE,2016,293009.3908,5047325.108,-73.65104691,45.56573636
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Garnier, rue","Fabre, rue",,FRPE,2016,292965.328,5047254,-73.65160967,45.56509576
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Garnier, rue","Fabre, rue",,FRPE,2016,292969.648,5047265.5,-73.6515546,45.56519931
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Garnier, rue","Fabre, rue",,FRPE,2016,292978.588,5047289,-73.65144065,45.56541093
Ahuntsic-Cartierville,R,1750,"Sauriol Est, rue","Fabre, rue","Marquette, rue",,FRPE,2016,293002.7196,5047301.736,-73.65113181,45.56552594
Ahuntsic-Cartierville,R,1600,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292904.421,5047050,-73.65238496,45.56325907
Ahuntsic-Cartierville,R,1616,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292918.394,5047083.5,-73.65220678,45.56356075
Ahuntsic-Cartierville,R,1670,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292949.534,5047167.5,-73.6518099,45.56431714
Ahuntsic-Cartierville,R,1644,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292927.632,5047110,-73.65208908,45.56379936
Ahuntsic-Cartierville,R,1680,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292956.686,5047186,-73.65171873,45.56448373
Ahuntsic-Cartierville,R,1648,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292934.635,5047129,-73.65199983,45.56397045
Ahuntsic-Cartierville,R,1662,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292946.247,5047156.5,-73.65185174,45.5642181
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Garnier, rue","Fabre, rue",,FRPE,2016,292974.118,5047274.5,-73.65149756,45.56528037
Ahuntsic-Cartierville,R,1695,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292952.469,5047222.5,-73.65177364,45.56481209
Ahuntsic-Cartierville,R,1649,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292917.426,5047132.5,-73.65222037,45.56400165
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292896.209,5047030,-73.65248967,45.56307896
Ahuntsic-Cartierville,R,1669,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292930.91,5047167,-73.65204847,45.56431232
Ahuntsic-Cartierville,R,1675,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292936.125,5047181,-73.651982,45.56443839
Ahuntsic-Cartierville,R,1620,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292923.46,5047100,-73.65214228,45.56370931
Ahuntsic-Cartierville,R,1648,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292930.612,5047119,-73.65205112,45.5638804
Ahuntsic-Cartierville,R,1649,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292912.285,5047118.5,-73.65228589,45.56387559
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292879.649,5047036.5,-73.65270196,45.56313717
Ahuntsic-Cartierville,R,1661,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292923.013,5047145.5,-73.65214911,45.56411872
Ahuntsic-Cartierville,R,1605,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292887.999,5047057.5,-73.65259551,45.56332627
Ahuntsic-Cartierville,R,1625,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPEMS,2016,292899.174,5047086,-73.65245305,45.56358292
Ahuntsic-Cartierville,R,1635,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPEMS,2016,292902.898,5047095.5,-73.65240558,45.56366846
Ahuntsic-Cartierville,R,1605,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,2016,292884.87,5047047.5,-73.65263535,45.56323624
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Christophe-Colomb, avenue","Olympia, boulevard",,FRPE,2016,292769.846,5046774.5,-73.65410211,45.56077772
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Christophe-Colomb, avenue","Olympia, boulevard",,FRPE,2016,292767.817,5046768,-73.65412794,45.5607192
Ahuntsic-Cartierville,R,0,"Sauriol Est, rue","Christophe-Colomb, avenue","Olympia, boulevard",,FRPE,2016,292772.975,5046781,-73.65406219,45.56083627
Ahuntsic-Cartierville,R,9870,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292854.273,5046572,-73.65301569,45.55895702
Ahuntsic-Cartierville,R,9935,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292811.223,5046604.5,-73.65356792,45.55924872
Ahuntsic-Cartierville,R,9930,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292804.108,5046591.5,-73.65365874,45.55913162
Ahuntsic-Cartierville,R,9895,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292853.774,5046586.264,-73.65302243,45.55908536
Ahuntsic-Cartierville,R,9865,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292882.651,5046576,-73.65265229,45.5589935
Ahuntsic-Cartierville,R,9940,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292795.331,5046595.5,-73.65377126,45.55916746
Ahuntsic-Cartierville,R,9940,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292786.378,5046599,-73.65388603,45.5591988
Ahuntsic-Cartierville,R,10010,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292749.31,5046615,-73.65436124,45.55934214
Ahuntsic-Cartierville,R,10020,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292737.492,5046620.5,-73.65451275,45.55939142
Ahuntsic-Cartierville,R,10020,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292728.507,5046623.5,-73.65462792,45.55941826
Ahuntsic-Cartierville,R,9971,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292781.181,5046617,-73.65395304,45.55936068
Ahuntsic-Cartierville,R,9860,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292869.816,5046564,-73.6528164,45.5588853
Ahuntsic-Cartierville,R,10005,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292762.56,5046624.5,-73.65419175,45.55942785
Ahuntsic-Cartierville,R,9820,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292923.095,5046541,-73.65213338,45.55867925
Ahuntsic-Cartierville,R,9930,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292812.718,5046588,-73.65354836,45.55910028
Ahuntsic-Cartierville,R,9840,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292898.411,5046550.5,-73.65244979,45.55876431
Ahuntsic-Cartierville,R,10000,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292764.08,5046608,-73.65417187,45.5592794
Ahuntsic-Cartierville,R,9870,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292858.285,5046569.5,-73.65296424,45.55893459
Ahuntsic-Cartierville,R,9900,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292846.46,5046574,-73.65311581,45.55897488
Ahuntsic-Cartierville,R,0,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292950.327,5046546,-73.65178468,45.5587247
Ahuntsic-Cartierville,R,9820,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292915.9,5046545,-73.65222564,45.55871512
Ahuntsic-Cartierville,R,9700,"Sacré-Coeur, avenue du","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,2016,293103.479,5046464.5,-73.64982099,45.55799393
Ahuntsic-Cartierville,R,2524,"Prieur Est, rue","D'Iberville, rue","André-Jobin, rue",,FRPE,2016,293088.991,5048583,-73.65005731,45.57705658
Ahuntsic-Cartierville,R,2152,"Prieur Est, rue","Merritt, avenue","Prairies, rue des",,FRPE,2016,292878.255,5048092.5,-73.65274557,45.57263934
Ahuntsic-Cartierville,R,2100,"Prieur Est, rue","De Lorimier, avenue","Merritt, avenue",,FRPE,2016,292855.699,5048054.488,-73.65303364,45.57229691
Ahuntsic-Cartierville,R,0,"Prieur Est, rue","Charton, avenue","Hamelin, avenue",,FRAM,2016,292726.37,5047869.676,-73.65468607,45.57063169
